date,source,p_synthetic_raw,imoex,fair_value_A,fair_ext,dev_ext
2024-07-22,polymarket,0.085,3024.54,2653.503935198244,2866.1644356269744,0.05525697074612568
2024-07-23,polymarket,0.195,3028.01,2636.6836333858755,2853.502501061705,0.06115554441370419
2024-07-24,polymarket,0.115,3051.76,2646.7502838655264,2862.250736942008,0.06620987484152474
2024-07-25,polymarket,0.105,3041.37,2654.289693357183,2868.0003874989156,0.06044964751635673
2024-07-26,polymarket,0.105,2993.23,2602.093470764892,2834.560138103858,0.05597689029885311
2024-07-29,polymarket,0.075,2906.95,2584.815058153175,2824.56792151619,0.029166258618269714
2024-07-30,polymarket,0.08,2944.78,2602.983827461851,2837.1780492945145,0.03792569547485458
2024-07-31,polymarket,0.085,2942.68,2631.022752939764,2856.2192693668253,0.03027104100881628
2024-08-01,polymarket,0.09,2935.69,2633.5357013464763,2858.2160111395174,0.027105715088900917
2024-08-02,polymarket,0.125,2899.0,2619.2206316731604,2848.625651055867,0.01768373774401044
2024-08-05,polymarket,0.105,2828.72,2619.9537348263057,2850.1345327391823,-0.0075135164649935415
2024-08-06,polymarket,0.08,2830.75,2612.3518993036078,2846.204533640207,-0.005429874577720928
2024-08-07,polymarket,0.065,2874.94,2626.3343197342347,2856.176740533402,0.0065693621827807025
2024-08-08,polymarket,0.065,2852.51,2636.5664136198,2863.539760981627,-0.0038517925023836552
2024-08-09,polymarket,0.075,2848.29,2640.3445808164324,2866.395810756407,-0.006316577315827576
2024-08-12,polymarket,0.055,2844.77,2640.4758917968043,2867.2550587058086,-0.007842015532429691
2024-08-13,polymarket,0.07,2884.6,2639.577368824029,2866.5265102082594,0.006305014004711618
2024-08-14,polymarket,0.055,2871.11,2667.611585906123,2885.241008246582,-0.004897687301058329
2024-08-15,polymarket,0.09,2838.11,2634.395480517639,2862.962200864698,-0.008680589934855432
2024-08-16,polymarket,0.09,2828.2,2605.951063569353,2844.541189356874,-0.005744753993373819
2024-08-19,polymarket,0.085,2775.64,2599.6172309700114,2840.7719371241897,-0.022927548766947137
2024-08-20,polymarket,0.085,2768.42,2596.8240631610643,2839.1016993702783,-0.024895796929696346
2024-08-21,polymarket,0.075,2768.14,2602.198684533914,2842.9276782049255,-0.02630657078555998
2024-08-22,polymarket,0.07,2725.75,2592.870500534053,2837.0166287324205,-0.03921958990495389
2024-08-23,polymarket,0.07,2662.47,2589.265879403355,2834.5936355890053,-0.060722508308757805
2024-08-26,polymarket,0.075,2763.75,2577.7468097532587,2826.8916897934373,-0.02233608384127761
2024-08-27,polymarket,0.07,2730.38,2582.036550927114,2829.9246432300624,-0.03517572224695087
2024-08-28,polymarket,0.065,2699.98,2572.507552972917,2823.913507233042,-0.0438871470091432
